DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.00403571	0	4	0	1	1	1	1	0	88	0	0	41.0982	0	0
DL	0.00405357	0	4	0	2	1	1	2	0	88	0	0	39.5124	0	0
DL	0.00407143	0	4	0	3	1	1	3	0	88	0	0	40.6808	0	0
DL	0.00408928	0	4	0	4	1	1	4	0	88	0	0	35.231	0	0
DL	0.00410714	0	4	0	5	1	1	5	0	88	0	0	41.7407	0	0
UL	0.00503571	0	5	0	1	1	1	1	0	88	0	0	41.0188 	0	0
UL	0.00505357	0	5	0	2	1	1	2	0	88	0	0	39.672 	0	0
UL	0.00507143	0	5	0	3	1	1	3	0	88	0	0	40.5519 	0	0
UL	0.00508928	0	5	0	4	1	1	4	0	88	0	0	35.3519 	0	0
UL	0.00510714	0	5	0	5	1	1	5	0	88	0	0	41.7869 	0	0
DL	0.00578571	0	5	3	1	1	1	1	0	2126	28	0	40.938	0	0
DL	0.00580357	0	5	3	2	1	1	2	0	2126	28	0	39.7914	0	0
DL	0.00582143	0	5	3	3	1	1	3	0	2126	28	0	40.5243	0	0
DL	0.00583928	0	5	3	4	1	1	4	0	2126	28	0	35.46	0	0
DL	0.00585714	0	5	3	5	1	1	5	0	2126	28	0	41.6285	0	0
DL	0.0340357	3	4	0	1	1	1	1	0	88	0	0	40.3004	0	0
DL	0.0340536	3	4	0	2	1	1	2	0	88	0	0	40.5296	0	0
DL	0.0340714	3	4	0	3	1	1	3	0	88	0	0	40.2767	0	0
DL	0.0340893	3	4	0	4	1	1	4	0	88	0	0	35.0758	0	0
DL	0.0341071	3	4	0	5	1	1	5	0	88	0	0	41.871	0	0
UL	0.0350357	3	5	0	1	1	1	1	0	88	0	0	40.3135 	0	0
UL	0.0350536	3	5	0	2	1	1	2	0	88	0	0	40.5885 	0	0
UL	0.0350714	3	5	0	3	1	1	3	0	88	0	0	40.2987 	0	0
UL	0.0350893	3	5	0	4	1	1	4	0	88	0	0	34.8674 	0	0
